Numéro de sinistre;Numéro du lot sinistré;Identifiant_lot;Branche;Garantie;Num police;Etat sinistre;Année de survenance;Montant Règlements totaux;Montant Règlements en principal;Montant Règlements en frais;Montant Provision ;Montant Recours;Charge nette;Montant du loyer sinistré;Date d'extraction
G13-568084L;1003690048;1003690048/2013;Compensée;LI;AXEL-10-001133;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;464;28/02/2018
G13-568085L;157680244;157680244/2013;Compensée;LI;AXEL-10-000406;TER;2013; 4 572    ; 2 531    ; 2 041    ; -      ;-26    ; 4 546    ;390;28/02/2018
G13-568107L;217300094;217300094/2013;Compensée;LI;AXEL-10-000132;TER;2013; 10 238    ; 5 608    ; 4 630    ; -      ;-3 789    ; 6 448    ;650;28/02/2018
G13-568123L;266440176;266440176/2013;Compensée;LI;AXEL-11-001368;TER;2013; 20 143    ; 13 738    ; 6 406    ; -      ;-600    ; 19 543    ;804;28/02/2018
G13-568137L;239600356;239600356/2013;Compensée;LI;AXEL-10-000707;REC;2013; 22 922    ; 19 222    ; 3 701    ; -      ;-2 706    ; 20 216    ;754;28/02/2018
G13-568147L;146990180;146990180/2013;Compensée;LI;AXEL-10-000012;TER;2013; 5 018    ; 3 184    ; 1 834    ; -      ;-3 424    ; 1 594    ;727;28/02/2018
G13-568149L;35730003;35730003/2013;Compensée;LI;AXEL-10-001149;REC;2013; 8 558    ; 3 948    ; 4 610    ; -      ;-973    ; 7 584    ;354;28/02/2018
G13-568151L;35730033;35730033/2013;Compensée;LI;AXEL-10-001149;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;390;28/02/2018
G13-568152L;209940140;209940140/2013;Compensée;LI;AXEL-10-000675;TER;2013; 3 961    ; 3 241    ; 720    ; -      ;-3 241    ; 720    ;1 680;28/02/2018
G13-568153L;35730054;35730054/2013;Compensée;LI;AXEL-10-001149;TER;2013; 13 292    ; 9 737    ; 3 555    ; -      ;-200    ; 13 092    ;0;28/02/2018
G13-568167L;174790142;174790142/2013;Compensée;LI;AXEL-10-000460;TER;2013; 1 689    ; 1 689    ; -      ; -      ;-841    ; 847    ;596;28/02/2018
G13-568175L;1004820037;1004820037/2013;Compensée;LI;AXEL-10-000358;TER;2013; 2 294    ; 2 129    ; 165    ; -      ;-2 294    ; -      ;663;28/02/2018
G13-568177L;289580260;289580260/2013;Compensée;LI;AXEL-10-001114;TER;2013; 200    ; 200    ; -      ; -      ;-200    ; -      ;0;28/02/2018
G13-568181L;9010530407;9010530407/2013;Compensée;LI;AXEL-12-001436;REC;2013; 35 535    ; 33 648    ; 1 886    ; -      ; -      ; 35 535    ;705;28/02/2018
G13-568189L;235730015;235730015/2013;Compensée;LI;AXEL-10-001131;TER;2013; 9 658    ; 4 916    ; 4 741    ; -      ; -      ; 9 658    ;453;28/02/2018
G13-568190L;227440103;227440103/2013;Compensée;LI;AXEL-12-001500;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;380;28/02/2018
G13-568197L;160840047;160840047/2013;Compensée;LI;AXEL-10-000415;TER;2013; 18 617    ; 14 254    ; 4 363    ; -      ;-1 615    ; 17 002    ;679;28/02/2018
G13-568206L;148480116;148480116/2013;Compensée;LI;AXEL-10-000602;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;282;28/02/2018
G13-568207L;157800163;157800163/2013;Compensée;LI;AXEL-10-001013;TER;2013; 8 530    ; 4 168    ; 4 362    ; -      ;-8 021    ; 509    ;796;28/02/2018
G13-568214L;157800180;157800180/2013;Compensée;LI;AXEL-10-001013;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;750;28/02/2018
G13-568218L;438670016;438670016/2013;Compensée;LI;AXEL-12-001432;TER;2013; 900    ; 900    ; -      ; -      ;-900    ; -      ;450;28/02/2018
G13-568219L;173910096;173910096/2013;Compensée;LI;AXEL-10-000176;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;1 012;28/02/2018
G13-568233L;406890058;406890058/2013;Compensée;LI;AXEL-10-000135;TER;2013; 2 103    ; 1 645    ; 458    ; -      ;-327    ; 1 776    ;967;28/02/2018
G13-568238L;111040175;111040175/2013;Compensée;LI;AXEL-11-001199;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;600;28/02/2018
G13-568240L;111040168;111040168/2013;Compensée;LI;AXEL-11-001199;TER;2013; 7 421    ; 5 653    ; 1 768    ; -      ;-5 653    ; 1 768    ;724;28/02/2018
G13-568252L;81340536;81340536/2013;Compensée;LI;AXEL-11-001364;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;608;28/02/2018
G13-568253L;189360097;189360097/2013;Compensée;LI;AXEL-10-000591;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;400;28/02/2018
G13-568257L;403640018;403640018/2013;Compensée;LI;AXEL-11-001281;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;640;28/02/2018
G13-568279L;52520167;52520167/2013;Compensée;LI;AXEL-10-001182;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;672;28/02/2018
G13-568281L;111040100;111040100/2013;Compensée;LI;AXEL-11-001199;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;673;28/02/2018
G13-568289L;400040074;400040074/2013;Compensée;LI;AXEL-10-000772;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;830;28/02/2018
G13-568294L;1004820111;1004820111/2013;Compensée;LI;AXEL-10-000358;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;1 032;28/02/2018
G13-568297L;149810497;149810497/2013;Compensée;LI;AXEL-12-001420;TER;2013; 1 105    ; 970    ; 135    ; -      ; -      ; 1 105    ;512;28/02/2018
G13-568306L;406390343;406390343/2013;Compensée;LI;AXEL-10-000434;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;630;28/02/2018
G13-568315L;190040323;190040323/2014;Compensée;LI;AXEL-10-000626;TER;2014; 324    ; 324    ; -      ; -      ;-324    ; -      ;277;28/02/2018
G13-568350L;189360101;189360101/2014;Compensée;LI;AXEL-10-000591;TER;2014; 7 883    ; 4 554    ; 3 330    ; -      ; -      ; 7 883    ;483;28/02/2018
G13-568355L;268150034;268150034/2013;Compensée;LI;AXEL-10-000755;TER;2013; 1 477    ; 1 332    ; 145    ; -      ; -      ; 1 477    ;550;28/02/2018
G13-568375L;412220008;412220008/2013;Compensée;LI;AXEL-12-001563;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;1 856;28/02/2018
G13-568427L;439520499;439520499/2013;Compensée;LI;AXEL-12-001418;TER;2013; 6 251    ; 2 983    ; 3 267    ; -      ; -      ; 6 251    ;958;28/02/2018
G13-568434L;238800001;238800001/2013;Compensée;LI;AXEL-12-001615;TER;2013; 4 740    ; 1 785    ; 2 955    ; -      ;-390    ; 4 320    ;650;28/02/2018
G13-568438L;241830210;241830210/2013;Compensée;LI;AXEL-10-000748;TER;2013; 9 544    ; 4 482    ; 5 062    ; -      ; -      ; 9 544    ;0;28/02/2018
G13-568441L;1003760216;1003760216/2014;Compensée;LI;AXEL-11-001246;TER;2014; 726    ; 726    ; -      ; -      ;-726    ; -      ;441;28/02/2018
G13-568459L;218530045;218530045/2013;Compensée;LI;AXEL-10-000112;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;890;28/02/2018
G13-568462L;240550403;240550403/2013;Compensée;LI;AXEL-10-000197;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;800;28/02/2018
G13-568466L;209940585;209940585/2014;Compensée;LI;AXEL-10-000675;TER;2014; 1 053    ; 1 053    ; -      ; -      ; -      ; 1 053    ;507;28/02/2018
G13-568468L;239600167;239600167/2013;Compensée;LI;AXEL-10-000707;TER;2013; 13 575    ; 8 390    ; 5 184    ; -      ;-434    ; 13 141    ;254;28/02/2018
G13-568481L;403330078;403330078/2013;Compensée;LI;AXEL-10-000978;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;370;28/02/2018
G13-568493L;64210099;64210099/2013;Compensée;LI;AXEL-10-000261;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;420;28/02/2018
G13-568499L;439800018;439800018/2013;Compensée;LI;AXEL-12-001389;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;550;28/02/2018
G13-568519L;143180009;143180009/2013;Compensée;LI;AXEL-10-000350;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;889;28/02/2018
G13-568525L;231750125;231750125/2014;Compensée;LI;AXEL-10-000185;TER;2014; 1 642    ; 1 642    ; -      ; -      ;-346    ; 1 296    ;548;28/02/2018
G13-568528L;273310096;273310096/2013;Compensée;LI;AXEL-10-000036;EC;2013; 3 977    ; 1 778    ; 2 199    ; 1 499    ; -      ; 5 476    ;1 075;28/02/2018
G13-568529L;21591489;21591489/2013;Compensée;LI;AXEL-10-000123;TER;2013; 7 724    ; 3 264    ; 4 460    ; -      ;-515    ; 7 209    ;639;28/02/2018
G13-568533L;218850029;218850029/2014;Compensée;LI;AXEL-10-000588;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;640;28/02/2018
G13-568535L;9012010058;9012010058/2014;Compensée;LI;AXEL-12-001557;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;980;28/02/2018
G13-568551L;273800012;273800012/2014;Compensée;LI;AXEL-10-001045;TER;2014; 18 238    ; 10 778    ; 7 460    ; -      ; -      ; 18 238    ;583;28/02/2018
G13-568568L;274670025;274670025/2013;Compensée;LI;AXEL-11-001332;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;658;28/02/2018
G13-568573L;61770240;61770240/2013;Compensée;LI;AXEL-10-000871;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;730;28/02/2018
G13-568672L;264180103;264180103/2013;Compensée;LI;AXEL-10-000883;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;1 900;28/02/2018
G13-568718L;149320499;149320499/2013;Compensée;LI;AXEL-10-000001;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;457;28/02/2018
G13-568723L;222140078;222140078/2013;Compensée;LI;AXEL-10-000684;TER;2013; 3 653    ; 2 187    ; 1 466    ; -      ;-2 100    ; 1 553    ;0;28/02/2018
G13-568754L;217490050;217490050/2014;Compensée;LI;AXEL-10-000381;TER;2014; 13 920    ; 11 811    ; 2 109    ; -      ; -      ; 13 920    ;1 701;28/02/2018
G13-568759L;52520075;52520075/2014;Compensée;LI;AXEL-10-001182;TER;2014; 1 457    ; 1 457    ; -      ; -      ;-1 457    ; -      ;643;28/02/2018
G13-568895L;247590299;247590299/2013;Compensée;LI;AXEL-10-000122;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;644;28/02/2018
G13-568900L;247590452;247590452/2013;Compensée;LI;AXEL-10-000122;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;1 062;28/02/2018
G13-568902L;247590238;247590238/2014;Compensée;LI;AXEL-10-000122;TER;2014; 4 929    ; 4 406    ; 523    ; -      ;-637    ; 4 292    ;624;28/02/2018
G13-569011L;9006190122;9006190122/2013;Compensée;LI;AXEL-10-000904;TER;2013; 14 348    ; 11 108    ; 3 240    ; -      ; -      ; 14 348    ;620;28/02/2018
G13-569046L;404280047;404280047/2013;Compensée;LI;AXEL-10-000757;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;558;28/02/2018
G13-569256L;247590487;247590487/2013;Compensée;LI;AXEL-10-000122;SS;2013; -      ; -      ; -      ; -      ; -      ; -      ;551;28/02/2018
G14-043248L;292140063;292140063/2014;Compensée;LI;AXEL-10-000341;TER;2014; 1 539    ; 1 070    ; 469    ; -      ; -      ; 1 539    ;705;28/02/2018
G14-043251L;157680240;157680240/2014;Compensée;LI;AXEL-10-000406;TER;2014; 545    ; 545    ; -      ; -      ;-545    ; -      ;545;28/02/2018
G14-043262L;241720010;241720010/2014;Compensée;LI;AXEL-10-000213;TER;2014; 11 392    ; 9 455    ; 1 937    ; -      ;-800    ; 10 592    ;1 220;28/02/2018
G14-043306L;189360097;189360097/2014;Compensée;LI;AXEL-10-000591;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;400;28/02/2018
G14-043358L;81340361;81340361/2014;Compensée;LI;AXEL-11-001364;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;312;28/02/2018
G14-043362L;177500094;177500094/2014;Compensée;LI;AXEL-10-000862;TER;2014; 522    ; 522    ; -      ; -      ; -      ; 522    ;607;28/02/2018
G14-043412L;296780156;296780156/2014;Compensée;LI;AXEL-10-000524;TER;2014; 9 480    ; 6 926    ; 2 553    ; -      ; -      ; 9 480    ;874;28/02/2018
G14-043427L;81340122;81340122/2014;Compensée;LI;AXEL-11-001364;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;596;28/02/2018
G14-043444L;9010530279;9010530279/2014;Compensée;LI;AXEL-12-001436;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;587;28/02/2018
G14-043450L;9011750088;9011750088/2014;Compensée;LI;AXEL-12-001548;TER;2014; 7 656    ; 5 213    ; 2 443    ; -      ; -      ; 7 656    ;460;28/02/2018
G14-043479L;149320499;149320499/2014;Compensée;LI;AXEL-10-000001;TER;2014; 1 486    ; 1 143    ; 344    ; -      ;-102    ; 1 384    ;457;28/02/2018
G14-043508L;81340499;81340499/2014;Compensée;LI;AXEL-11-001364;TER;2014; 12 379    ; 8 206    ; 4 173    ; -      ; -      ; 12 379    ;625;28/02/2018
G14-043551L;21590641;21590641/2014;Compensée;LI;AXEL-10-000123;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;528;28/02/2018
G14-043556L;252310047;252310047/2014;Compensée;LI;AXEL-10-001130;TER;2014; 4 542    ; 2 200    ; 2 342    ; -      ;-2 571    ; 1 971    ;400;28/02/2018
G14-043629L;53930163;53930163/2014;Compensée;LI;AXEL-10-001119;TER;2014; 313    ; 313    ; -      ; -      ; -      ; 313    ;284;28/02/2018
G14-043642L;52520290;52520290/2014;Compensée;LI;AXEL-10-001182;TER;2014; 3 758    ; 2 113    ; 1 644    ; -      ; -      ; 3 758    ;620;28/02/2018
G14-043645L;81340361;81340361/2014;Compensée;LI;AXEL-11-001364;TER;2014; 625    ; 573    ; 52    ; -      ;-129    ; 496    ;318;28/02/2018
G14-043680L;190040334;190040334/2014;Compensée;LI;AXEL-10-000626;TER;2014; 4 675    ; 2 342    ; 2 333    ; -      ;-2 250    ; 2 425    ;315;28/02/2018
G14-043684L;295390147;295390147/2014;Compensée;LI;AXEL-10-000374;TER;2014; 5 886    ; 2 221    ; 3 665    ; -      ;-2 239    ; 3 647    ;1 105;28/02/2018
G14-043705L;1004860127;1004860127/2014;Compensée;LI;AXEL-13-001652;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;450;28/02/2018
G14-043717L;21591380;21591380/2014;Compensée;LI;AXEL-10-000123;TER;2014; 3 890    ; 1 805    ; 2 085    ; -      ;-2 377    ; 1 513    ;602;28/02/2018
G14-043723L;1004860073;1004860073/2014;Compensée;LI;AXEL-13-001652;TER;2014; 4 457    ; 4 457    ; -      ; -      ;-4 457    ; 0    ;428;28/02/2018
G14-043778L;9006190115;9006190115/2014;Compensée;LI;AXEL-10-000904;TER;2014; 10 634    ; 6 404    ; 4 229    ; -      ;-3 817    ; 6 816    ;1 008;28/02/2018
G14-043781L;76550017;76550017/2014;Compensée;LI;AXEL-12-001527;TER;2014; 1 038    ; 809    ; 229    ; -      ; -      ; 1 038    ;742;28/02/2018
G14-043818L;277250234;277250234/2014;Compensée;LI;AXEL-10-000469;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;600;28/02/2018
G14-043825L;9006190268;9006190268/2014;Compensée;LI;AXEL-10-000904;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;520;28/02/2018
G14-043826L;247590801;247590801/2014;Compensée;LI;AXEL-10-000122;TER;2014; 990    ; -      ; 990    ; -      ;-990    ; -      ;990;28/02/2018
G14-043842L;289580234;289580234/2014;Compensée;LI;AXEL-10-001114;TER;2014; 350    ; 350    ; -      ; -      ;-206    ; 144    ;0;28/02/2018
G14-043845L;81340573;81340573/2014;Compensée;LI;AXEL-11-001364;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;244;28/02/2018
G14-043850L;81340547;81340547/2014;Compensée;LI;AXEL-11-001364;TER;2014; 1 264    ; 1 264    ; -      ; -      ;-330    ; 935    ;462;28/02/2018
G14-043855L;247590474;247590474/2014;Compensée;LI;AXEL-10-000122;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;940;28/02/2018
G14-043863L;21591719;21591719/2014;Compensée;LI;AXEL-10-000123;TER;2014; 1 271    ; 1 171    ; 100    ; -      ;-1 271    ; -      ;608;28/02/2018
G14-043882L;174790178;174790178/2014;Compensée;LI;AXEL-10-000460;TER;2014; 9 042    ; 5 474    ; 3 569    ; -      ;-2 217    ; 6 825    ;575;28/02/2018
G14-043941L;1000390072;1000390072/2014;Compensée;LI;AXEL-12-001459;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;311;28/02/2018
G14-043969L;247590801;247590801/2014;Compensée;LI;AXEL-10-000122;TER;2014; 990    ; 990    ; -      ; -      ;-798    ; 192    ;990;28/02/2018
G14-043976L;157150180;157150180/2014;Compensée;LI;AXEL-10-000552;TER;2014; 512    ; 512    ; -      ; -      ; -      ; 512    ;495;28/02/2018
G14-044030L;21591746;21591746/2014;Compensée;LI;AXEL-10-000123;TER;2014; 675    ; 675    ; -      ; -      ;-28    ; 648    ;473;28/02/2018
G14-044072L;235280051;235280051/2014;Compensée;LI;AXEL-10-000240;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;755;28/02/2018
G14-044099L;21591593;21591593/2014;Compensée;LI;AXEL-10-000123;TER;2014; 6 208    ; 4 297    ; 1 911    ; -      ;-4 485    ; 1 722    ;965;28/02/2018
G14-044121L;193680058;193680058/2014;Compensée;LI;AXEL-10-001137;TER;2014; 12 868    ; 5 232    ; 7 636    ; -      ; -      ; 12 868    ;637;28/02/2018
G14-044142L;242540021;242540021/2014;Compensée;LI;AXEL-10-000725;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;730;28/02/2018
G14-044147L;9010570057;9010570057/2014;Compensée;LI;AXEL-12-001443;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;696;28/02/2018
G14-044187L;79270053;79270053/2014;Compensée;LI;AXEL-10-000224;TER;2014; 11 388    ; 7 277    ; 4 111    ; -      ;-693    ; 10 695    ;787;28/02/2018
G14-044226L;277250234;277250234/2014;Compensée;LI;AXEL-10-000469;TER;2014; 150    ; -      ; 150    ; -      ; -      ; 150    ;611;28/02/2018
G14-044308L;81340536;81340536/2014;Compensée;LI;AXEL-11-001364;TER;2014; 1 009    ; 1 009    ; -      ; -      ;-1 009    ;-0    ;608;28/02/2018
G14-044316L;408840162;408840162/2014;Compensée;LI;AXEL-12-001395;TER;2014; 11 440    ; 7 404    ; 4 037    ; -      ;-1 599    ; 9 841    ;777;28/02/2018
G14-044339L;271130050;271130050/2014;Non Compensée;LI;AXEL-10-000174;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;680;28/02/2018
G14-044411L;286890016;286890016/2014;Compensée;LI;AXEL-10-000673;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;618;28/02/2018
G14-044413L;247590816;247590816/2014;Compensée;LI;AXEL-10-000122;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;695;28/02/2018
G14-044456L;187000005;187000005/2014;Compensée;LI;AXEL-12-001580;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;580;28/02/2018
G14-044477L;287740120;287740120/2014;Compensée;LI;AXEL-10-000688;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;591;28/02/2018
G14-044478L;52520075;52520075/2014;Compensée;LI;AXEL-10-001182;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;643;28/02/2018
G14-044480L;454790027;454790027/2014;Compensée;LI;AXEL-13-001658;TER;2014; 168    ; -      ; 168    ; -      ; -      ; 168    ;660;28/02/2018
G14-044482L;1003760274;1003760274/2014;Compensée;LI;AXEL-11-001246;TER;2014; 3 863    ; 1 925    ; 1 937    ; -      ;-2 050    ; 1 813    ;870;28/02/2018
G14-044490L;400040091;400040091/2014;Compensée;LI;AXEL-10-000772;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;750;28/02/2018
G14-044522L;1005320070;1005320070/2014;Compensée;LI;AXEL-14-001666;TER;2014; 3 888    ; 2 448    ; 1 440    ; -      ;-1 326    ; 2 563    ;484;28/02/2018
G14-044526L;239600386;239600386/2014;Compensée;LI;AXEL-10-000707;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;345;28/02/2018
G14-044546L;53930201;53930201/2014;Compensée;LI;AXEL-10-001119;TER;2014; 7 930    ; 2 345    ; 5 586    ; -      ;-2 085    ; 5 845    ;768;28/02/2018
G14-044549L;21591848;21591848/2014;Compensée;LI;AXEL-10-000123;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;365;28/02/2018
G14-044556L;247590491;247590491/2014;Compensée;LI;AXEL-10-000122;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;554;28/02/2018
G14-044557L;131280032;131280032/2014;Compensée;LI;AXEL-10-000645;TER;2014; 8 443    ; 4 013    ; 4 429    ; -      ;-2 867    ; 5 576    ;1 000;28/02/2018
G14-044559L;247590749;247590749/2014;Compensée;LI;AXEL-10-000122;TER;2014; 9 342    ; 5 840    ; 3 502    ; -      ; -      ; 9 342    ;678;28/02/2018
G14-044623L;9010630077;9010630077/2014;Compensée;LI;AXEL-12-001458;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;315;28/02/2018
G14-044628L;9010630096;9010630096/2014;Non Compensée;LI;AXEL-12-001458;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;544;28/02/2018
G14-044631L;288680038;288680038/2014;Compensée;LI;AXEL-10-000416;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;450;28/02/2018
G14-044640L;9010630113;9010630113/2014;Compensée;LI;AXEL-12-001458;TER;2014; 7 441    ; 4 309    ; 3 132    ; -      ; -      ; 7 441    ;332;28/02/2018
G14-044645L;239600048;239600048/2014;Compensée;LI;AXEL-10-000707;TER;2014; 1 063    ; 749    ; 313    ; -      ; -      ; 1 063    ;533;28/02/2018
G14-044673L;9010630138;9010630138/2014;Compensée;LI;AXEL-12-001458;TER;2014; 5 146    ; 2 346    ; 2 800    ; -      ; -      ; 5 146    ;341;28/02/2018
G14-044686L;285490046;285490046/2014;Compensée;LI;AXEL-10-000711;TER;2014; 13 941    ; 11 202    ; 2 739    ; -      ;-260    ; 13 681    ;580;28/02/2018
G14-044690L;239600386;239600386/2014;Compensée;LI;AXEL-10-000707;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;345;28/02/2018
G14-044714L;109570054;109570054/2014;Compensée;LI;AXEL-10-000004;TER;2014; 1 659    ; 1 217    ; 441    ; -      ;-1 009    ; 650    ;592;28/02/2018
G14-044731L;143930024;143930024/2014;Compensée;LI;AXEL-14-001674;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;600;28/02/2018
G14-044736L;141130011;141130011/2014;Compensée;LI;AXEL-10-000774;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;585;28/02/2018
G14-044767L;461550056;461550056/2014;Compensée;LI;AXEL-14-001675;REC;2014; 3 773    ; 2 088    ; 1 685    ; -      ;-1 350    ; 2 423    ;740;28/02/2018
G14-044783L;146990510;146990510/2014;Compensée;LI;AXEL-10-000012;TER;2014; 12 909    ; 9 607    ; 3 302    ; -      ; -      ; 12 909    ;0;28/02/2018
G14-044827L;257000092;257000092/2014;Compensée;LI;AXEL-10-000527;TER;2014; 3 113    ; 1 624    ; 1 489    ; -      ;-430    ; 2 683    ;488;28/02/2018
G14-044832L;247590839;247590839/2014;Non Compensée;LI;AXEL-10-000122;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;608;28/02/2018
G14-044847L;247590833;247590833/2014;Compensée;LI;AXEL-10-000122;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;554;28/02/2018
G14-044926L;9008180147;9008180147/2014;Compensée;LI;AXEL-11-001283;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;1 010;28/02/2018
G14-045009L;406890182;406890182/2014;Compensée;LI;AXEL-10-000135;TER;2014; 265    ; 265    ; -      ; -      ; -      ; 265    ;705;28/02/2018
G14-045049L;261690012;261690012/2014;Compensée;LI;AXEL-10-000212;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;785;28/02/2018
G14-045051L;9008180222;9008180222/2014;Compensée;LI;AXEL-11-001283;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;1 180;28/02/2018
G14-045232L;247590620;247590620/2014;Compensée;LI;AXEL-10-000122;TER;2014; 1 500    ; -      ; 1 500    ; -      ; -      ; 1 500    ;575;28/02/2018
G14-045265L;54570237;54570237/2014;Compensée;LI;AXEL-12-001468;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;690;28/02/2018
G14-045279L;248360226;248360226/2014;Compensée;LI;AXEL-10-001096;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;450;28/02/2018
G14-045388L;9006190014;9006190014/2014;Compensée;LI;AXEL-10-000904;TER;2014; 221    ; 221    ; -      ; -      ; -      ; 221    ;0;28/02/2018
G14-045452L;214890020;214890020/2014;Compensée;LI;AXEL-10-000106;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;801;28/02/2018
G14-045498L;461550092;461550092/2014;Compensée;LI;AXEL-14-001675;TER;2014; 5 339    ; 2 374    ; 2 965    ; -      ; -      ; 5 339    ;0;28/02/2018
G14-567603L;61770378;61770378/2014;Compensée;LI;AXEL-10-000871;TER;2014; 7 920    ; 4 274    ; 3 646    ; -      ; -      ; 7 920    ;550;28/02/2018
G14-568067L;298510003;298510003/2014;Compensée;LI;AXEL-13-001664;NG;2014; -      ; -      ; -      ; -      ; -      ; -      ;755;28/02/2018
G14-568178L;9010530292;9010530292/2014;Compensée;LI;AXEL-12-001436;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;531;28/02/2018
G14-568208L;148480119;148480119/2013;Compensée;LI;AXEL-10-000602;NG;2013; -      ; -      ; -      ; -      ; -      ; -      ;320;28/02/2018
G14-568337L;269490063;269490063/2014;Compensée;LI;AXEL-10-000113;TER;2014; 4 012    ; 1 765    ; 2 247    ; -      ; -      ; 4 012    ;410;28/02/2018
G14-568354L;181160032;181160032/2014;Compensée;LI;AXEL-10-000044;TER;2014; 4 892    ; 2 683    ; 2 209    ; -      ;-2 573    ; 2 319    ;650;28/02/2018
G14-568376L;292140062;292140062/2014;Compensée;LI;AXEL-10-000341;TER;2014; 52    ; 52    ; -      ; -      ;-207    ;-155    ;1 000;28/02/2018
G14-568389L;418260010;418260010/2014;Compensée;LI;AXEL-11-001344;TER;2014; 5 643    ; 2 783    ; 2 860    ; -      ;-639    ; 5 004    ;564;28/02/2018
G14-568415L;241830086;241830086/2014;Compensée;LI;AXEL-10-000748;TER;2014; 17 881    ; 13 428    ; 4 453    ; -      ;-11 290    ; 6 592    ;0;28/02/2018
G14-568422L;157800115;157800115/2014;Compensée;LI;AXEL-10-001013;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;779;28/02/2018
G14-568442L;9010530439;9010530439/2014;Compensée;LI;AXEL-12-001436;SS;2014; -      ; -      ; -      ; -      ; -      ; -      ;680;28/02/2018
G14-568450L;9010530473;9010530473/2014;Compensée;LI;AXEL-12-001436;TER;2014; 5 614    ; 2 703    ; 2 910    ; -      ; -      ; 5 614    ;650;28/02/2018
G14-568488L;134140057;134140057/2014;Compensée;LI;AXEL-10-000288;TER;2014; 15 853    ; 11 976    ; 3 878    ; -      ;-1 245    ; 14 608    ;611;28/02/2018
